emp_no,dept_no
10001,d005
10002,d007
10003,d004
10004,d004
10005,d003
10006,d005
10007,d008
10008,d005
10009,d006
10010,d004
10010,d006
10011,d009
10012,d005
10013,d003
10014,d005
10015,d008
10016,d007
10017,d001
10018,d004
10018,d005
10019,d008
10020,d004
10021,d005
10022,d005
10023,d005
10024,d004
10025,d005
10026,d004
10027,d005
10028,d005
10029,d004
10029,d006
10030,d004
10031,d005
10032,d004
10033,d006
10034,d007
10035,d004
10036,d003
10037,d005
10038,d009
10039,d003
10040,d005
10040,d008
10041,d007
10042,d002
10043,d005
10044,d004
10045,d004
10046,d008
10047,d004
10048,d005
10049,d009
10050,d002
10050,d007
10051,d004
10052,d008
10053,d007
10054,d003
10055,d001
10056,d005
10057,d005
10058,d001
10059,d002
10060,d007
10060,d009
10061,d007
10062,d005
10063,d004
10064,d008
10065,d005
10066,d005
10067,d006
10068,d007
10069,d004
10070,d005
10070,d008
10071,d003
10072,d005
10073,d006
10074,d005
10075,d005
10076,d005
10077,d003
10078,d005
10079,d005
10080,d002
10080,d003
10081,d004
10082,d008
10083,d004
10084,d004
10085,d004
10086,d003
10087,d007
10088,d007
10088,d009
10089,d007
10090,d005
10091,d005
10092,d005
10093,d007
10094,d008
10095,d007
10096,d004
10097,d008
10098,d004
10098,d009
10099,d007
10100,d003
10101,d007
10102,d004
10103,d005
10104,d008
10105,d003
10106,d004
10107,d007
10108,d001
10108,d003
10109,d004
10110,d003
10111,d006
10112,d009
10113,d004
10114,d008
10115,d009
10116,d005
10116,d008
10117,d004
10118,d005
10119,d004
10120,d004
10121,d005
10122,d005
10123,d004
10124,d004
10124,d006
10125,d007
10126,d009
10127,d005
10128,d009
10129,d005
10130,d004
10131,d004
10132,d002
10133,d004
10134,d004
10134,d005
10135,d004
10136,d007
10137,d009
10138,d006
10139,d005
10140,d001
10141,d008
10142,d005
10143,d005
10144,d002
10144,d003
10145,d005
10146,d002
10147,d002
10148,d007
10149,d007
10150,d005
10151,d007
10152,d006
10153,d005
10154,d009
10155,d004
10155,d008
10156,d006
10157,d005
10158,d004
10159,d006
10160,d007
10161,d004
10162,d004
10163,d003
10164,d004
10164,d009
10165,d002
10166,d005
10167,d004
10168,d008
10169,d005
10170,d004
10171,d004
10172,d005
10172,d008
10173,d002
10174,d004
10175,d001
10176,d009
10177,d002
10178,d007
10179,d005
10180,d002
10181,d005
10182,d005
10182,d008
10183,d009
10184,d009
10185,d007
10186,d002
10187,d002
10188,d004
10189,d005
10190,d004
10191,d005
10192,d004
10192,d006
10193,d005
10194,d002
10195,d004
10196,d002
10197,d005
10198,d005
10199,d007
10200,d004
10200,d006
10201,d005
10202,d005
10203,d008
10204,d005
10205,d004
10206,d005
10207,d005
10208,d001
10209,d002
10209,d007
10210,d009
10211,d005
10212,d005
10213,d009
10214,d007
10215,d007
10216,d008
10217,d004
10218,d004
10219,d005
10219,d009
10220,d002
10221,d004
10222,d004
10223,d005
10224,d004
10225,d009
10226,d007
10227,d005
10228,d001
10228,d007
10229,d006
10230,d008
10231,d009
10232,d007
10233,d003
10234,d007
10235,d004
